day,book,chapterFrom,chapterTo
1,psalms,68,
2,psalms,69,
3,psalms,70,71
4,psalms,72,
5,joshua,1,
6,joshua,2,
7,joshua,3,
8,joshua,4,
9,joshua,5,
10,joshua,6,
11,joshua,7,
12,joshua,8,
13,joshua,9,
14,joshua,10,
15,joshua,11,
16,joshua,12,
17,joshua,13,
18,joshua,14,
19,joshua,15,
20,joshua,16,
21,joshua,17,
22,joshua,18,
23,joshua,19,
24,joshua,20,
25,joshua,21,
26,joshua,22,
27,joshua,23,
28,joshua,24,
29,colossians,1,
30,colossians,2,
31,colossians,3,4
32,judges,1,
33,judges,2,
34,judges,3,
35,judges,4,
36,judges,5,
37,judges,6,
38,judges,7,
39,judges,8,
40,judges,9,
41,judges,10,
42,judges,11,
43,judges,12,
44,judges,13,
45,judges,14,
46,judges,15,
47,judges,16,
48,judges,17,
49,judges,18,
50,judges,19,
51,judges,20,
52,judges,21,
53,ruth,1,
54,ruth,2,
55,ruth,3,
56,ruth,4,
57,philemon,1,
58,samuel1,1,
59,samuel1,2,
60,samuel1,3,
61,samuel1,4,
62,samuel1,5,
63,samuel1,6,
64,samuel1,7,
65,samuel1,8,
66,samuel1,9,
67,samuel1,10,
68,samuel1,11,
69,samuel1,12,
70,samuel1,13,
71,samuel1,14,
72,samuel1,15,
73,samuel1,16,
74,samuel1,17,
75,samuel1,18,
76,samuel1,19,
77,samuel1,20,
78,samuel1,21,
79,samuel1,22,
80,samuel1,23,
81,samuel1,24,
82,samuel1,25,
83,samuel1,26,
84,samuel1,27,
85,samuel1,28,
86,samuel1,29,
87,samuel1,30,
88,samuel1,31,
89,samuel2,1,
90,samuel2,2,
91,samuel2,3,
92,samuel2,4,
93,samuel2,5,
94,samuel2,6,
95,samuel2,7,
96,samuel2,8,
97,samuel2,9,
98,samuel2,10,
99,samuel2,11,
100,samuel2,12,
101,samuel2,13,
102,samuel2,14,
103,samuel2,15,
104,samuel2,16,
105,samuel2,17,
106,samuel2,18,
107,samuel2,19,
108,samuel2,20,
109,samuel2,21,
110,samuel2,22,
111,samuel2,23,
112,samuel2,24,
113,ephesians,1,
114,ephesians,2,
115,ephesians,3,
