day,book,chapterFrom,chapterTo,verseFrom,verseTo
1,jeremiah,28,,,
2,jeremiah,29,,,
3,jeremiah,30,,,
4,jeremiah,31,,,
5,jeremiah,32,,,
6,jeremiah,33,,,
7,jeremiah,34,,,
8,jeremiah,35,,,
9,jeremiah,36,,,
10,jeremiah,37,,,
11,jeremiah,38,,,
12,jeremiah,39,,,
13,jeremiah,40,,,
14,jeremiah,41,,,
15,jeremiah,42,,,
16,jeremiah,43,,,
17,jeremiah,44,45,,
18,jeremiah,46,,,
19,jeremiah,47,,,
20,jeremiah,48,,,
21,jeremiah,49,,,
22,jeremiah,50,,,
23,jeremiah,51,,,
24,jeremiah,52,,,
25,corinthians1,1,,,
26,corinthians1,2,,,
27,corinthians1,3,,,
28,corinthians1,4,,,
29,corinthians1,5,,,
30,corinthians1,6,,,
31,corinthians1,7,,,
32,corinthians1,8,9,,
33,corinthians1,10,,,
34,corinthians1,11,,,
35,corinthians1,12,,,
36,corinthians1,13,,,
37,corinthians1,14,,,
38,corinthians1,15,,,
39,corinthians1,16,,,
40,corinthians2,1,,,
41,corinthians2,2,3,,
42,corinthians2,4,,,
43,corinthians2,5,,,
44,corinthians2,6,,,
45,corinthians2,7,,,
46,corinthians2,8,,,
47,corinthians2,9,,,
48,corinthians2,10,,,
49,corinthians2,11,,,
50,corinthians2,12,13,,
51,lamentations,1,,,
52,lamentations,2,,,
53,lamentations,3,,,
54,lamentations,4,,,
55,lamentations,5,,,
56,psalms,90,,,
57,psalms,91,,,
58,psalms,92,93,,
59,psalms,94,,,
60,psalms,95,,,
61,psalms,96,,,
62,psalms,97,,,
63,psalms,98,,,
64,psalms,99,100,,
65,psalms,101,,,
66,psalms,102,,,
67,psalms,103,,,
68,psalms,104,,,
69,psalms,105,,,
70,psalms,106,,,
71,jude,1,,,
72,timothy1,1,,,
73,timothy1,2,,,
74,timothy1,3,,,
75,timothy1,4,,,
76,timothy1,5,,,
77,timothy1,6,,,
78,timothy2,1,,,
79,timothy2,2,,,
80,timothy2,3,,,
81,timothy2,4,,,
82,job,1,,,
83,job,2,,,
84,job,3,,,
85,job,4,,,
86,job,5,,,
87,job,6,,,
88,job,7,,,
89,job,8,,,
90,job,9,,,
91,job,10,,,
92,job,11,,,
93,job,12,,,
94,job,13,,,
95,job,14,,,
96,job,15,,,
97,job,16,,,
98,job,17,,,
99,job,18,,,
100,job,19,,,
101,job,20,,,
102,job,21,,,
103,job,22,,,
104,job,23,,,
105,job,24,,,
106,job,25,,,
107,job,26,,,
108,job,27,,,
109,job,28,,,
110,job,29,,,
111,job,30,,,
112,job,31,,,
113,job,32,,,
114,job,33,,,
115,job,34,,,
116,job,35,,,
117,job,36,,,
118,job,37,,,
119,job,38,,,
120,job,39,,,
121,job,40,,,
122,job,41,,,
123,job,42,,,
124,john,1,,,
125,john,2,,,
126,john,3,,,
127,john,4,,,
128,john,5,,,
129,john,6,,,
130,john,7,,,
131,john,8,,,
132,john,9,,,
133,john,10,,,
134,john,11,,,
135,john,12,,,
136,john,13,,,
137,john,14,,,
138,john,15,,,
139,john,16,,,
140,john,17,,,
141,john,18,,,
142,john,19,,,
143,john,20,,,
144,john,21,,,
145,hosea,1,2,,
146,hosea,3,4,,
147,hosea,5,6,,
148,hosea,7,8,,
149,hosea,9,10,,
150,hosea,11,12,,
151,hosea,13,14,,
152,joel,1,,,
153,joel,2,,,
154,joel,3,,,
155,amos,1,,,
156,amos,2,3,,
157,amos,4,5,,
158,amos,6,7,,
159,amos,8,9,,
160,obadiah,1,,,
161,jonah,1,2,,
162,jonah,3,4,,
163,micah,1,,,
164,micah,2,3,,
165,micah,4,5,,
166,micah,6,7,,
167,nahum,1,,,
168,nahum,2,3,,
169,john1,1,,,
170,john1,2,,,
171,john1,3,,,
172,john1,4,,,
173,john1,5,,,
174,john2,1,,,
175,john3,1,,,
176,habakkuk,1,,,
177,habakkuk,2,3,,
178,zephaniah,1,,,
179,zephaniah,2,,,
180,zephaniah,3,,,
181,haggai,1,2,,
182,zechariah,1,2,,
183,zechariah,3,4,,
184,zechariah,5,6,,
185,zechariah,7,8,,
186,zechariah,9,10,,
187,zechariah,11,12,,
188,zechariah,13,14,,
189,psalms,107,,,
190,psalms,108,,,
191,psalms,109,,,
192,psalms,110,,,
193,psalms,111,,,
194,psalms,112,,,
195,psalms,113,,,
196,psalms,114,115,,
197,psalms,116,117,,
198,psalms,118,,,
199,psalms,119,,1,56
200,psalms,119,,57,112
201,psalms,119,,113,176
202,psalms,120,121,,
203,psalms,122,123,,
204,psalms,124,125,,
205,psalms,126,127,,
206,psalms,128,129,,
207,psalms,130,131,,
208,psalms,132,133,,
209,psalms,134,135,,
210,psalms,136,,,
211,psalms,137,,,
212,psalms,138,,,
213,psalms,139,,,
214,psalms,140,,,
215,psalms,141,,,
216,psalms,142,143,,
217,psalms,144,,,
218,psalms,145,146,,
219,psalms,147,148,,
220,psalms,149,150,,
221,malachi,1,2,,
222,malachi,3,4,,
223,chronicles1,1,,,
224,chronicles1,2,,,
225,chronicles1,3,,,
226,chronicles1,4,,,
227,chronicles1,5,,,
228,chronicles1,6,,,
229,chronicles1,7,,,
230,chronicles1,8,,,
231,chronicles1,9,,,
232,chronicles1,10,,,
233,chronicles1,11,,,
234,chronicles1,12,,,
235,chronicles1,13,,,
236,chronicles1,14,,,
237,chronicles1,15,,,
238,chronicles1,16,,,
239,chronicles1,17,,,
240,chronicles1,18,19,,
241,chronicles1,20,21,,
242,chronicles1,22,,,
243,chronicles1,23,,,
244,chronicles1,24,,,
245,chronicles1,25,,,
246,chronicles1,26,,,
247,chronicles1,27,,,
248,chronicles1,28,,,
249,chronicles1,29,,,
250,chronicles2,1,,,
251,chronicles2,2,,,
252,chronicles2,3,,,
253,chronicles2,4,,,
254,chronicles2,5,,,
255,chronicles2,6,,,
256,chronicles2,7,,,
257,chronicles2,8,,,
258,chronicles2,9,,,
259,chronicles2,10,,,
260,chronicles2,11,,,
261,chronicles2,12,,,
262,chronicles2,13,,,
263,chronicles2,14,,,
264,chronicles2,15,,,
265,chronicles2,16,17,,
266,chronicles2,18,,,
267,chronicles2,19,,,
268,chronicles2,20,,,
269,chronicles2,21,,,
270,chronicles2,22,,,
271,chronicles2,23,,,
272,chronicles2,24,,,
273,chronicles2,25,,,
274,chronicles2,26,,,
275,chronicles2,27,,,
276,chronicles2,28,,,
277,chronicles2,29,,,
278,chronicles2,30,,,
279,chronicles2,31,,,
280,chronicles2,32,,,
281,chronicles2,33,,,
